Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,105.0,1.0,105.0,105.0,0.1,88.00800000000004,0.0,0.0,0.009787559509277344,,,,,,,,,,,,,,,,,,,,,36.49260270302331,28.394363602055368,84.34488213557157,-7.964083874125917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,149.0,2.0,44.0,149.0,0.1,23.01000000000001,0.0,0.0,4.830273628234863,,,,,,,,,,,,,,,,,,,,,4.55553962209953,10.201655515652753,22.855243889162058,-9.945164670461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,225.0,3.0,76.0,225.0,0.1,61.00700000000001,0.0,0.0,12.428166151046753,,,,,,,,,,,,,,,,,,,,,24.574198825793435,20.57181735064634,59.25781726595433,-6.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,253.0,4.0,28.0,253.0,0.1,13.007000000000003,0.0,0.0,15.471048831939697,,,,,,,,,,,,,,,,,,,,,1.9906373966571456,6.287778148215125,12.977203582855724,-6.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,289.0,5.0,36.0,289.0,0.1,19.00800000000001,0.0,0.0,19.35095238685608,,,,,,,,,,,,,,,,,,,,,4.047210555502752,8.448615764749919,18.900081683286803,-7.964083874125917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,322.0,6.0,33.0,322.0,0.1,18.00700000000001,0.0,0.0,22.93921732902527,,,,,,,,,,,,,,,,,,,,,4.2524184750371,7.885964926500306,17.902457202271123,-6.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,376.0,7.0,54.0,376.0,0.1,39.006999999999984,0.0,0.0,28.45564842224121,,,,,,,,,,,,,,,,,,,,,14.111840009012806,14.26341729390585,38.32156544884557,-6.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,458.0,8.0,82.0,458.0,0.1,39.02099999999995,0.0,0.0,37.211503744125366,,,,,,,,,,,,,,,,,,,,,4.81700131163141,17.883103553411992,38.70337393694618,-20.77053271125956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,507.0,9.0,49.0,507.0,0.1,28.00999999999999,0.0,0.0,42.47977590560913,,,,,,,,,,,,,,,,,,,,,6.820993715377464,11.7733922947734,27.73120598871795,-9.945164670461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,537.0,10.0,30.0,537.0,0.1,15.007000000000007,0.0,0.0,45.671560525894165,,,,,,,,,,,,,,,,,,,,,2.887447371667813,6.931445060399051,14.950262152893599,-6.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
