Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,49.0,1.0,49.0,49.0,0.1,32.0,0.0,0.0,0.010848045349121094,,,,,,,,,,,,,,,,,,,,,10.053754532051032,12.473424093805951,31.57047540827063,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,84.0,2.0,35.0,84.0,0.1,16.0,0.0,0.0,3.840165138244629,,,,,,,,,,,,,,,,,,,,,2.064754548079254,7.725115449719105,15.959636904990308,-8.964083874125917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,123.0,3.0,39.0,123.0,0.1,22.0,0.0,0.0,7.779177188873291,,,,,,,,,,,,,,,,,,,,,5.40873803184257,9.39446392282062,21.832702789634627,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,154.0,4.0,31.0,154.0,0.1,14.0,0.0,0.0,11.111673831939697,,,,,,,,,,,,,,,,,,,,,1.8031421849569231,6.845262057372968,13.972032685604855,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,187.0,5.0,33.0,187.0,0.1,16.0,0.0,0.0,14.430431604385376,,,,,,,,,,,,,,,,,,,,,2.689929388351667,7.490137460368494,15.943102592266339,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,248.0,6.0,61.0,248.0,0.1,38.0,0.0,0.0,20.426045894622803,,,,,,,,,,,,,,,,,,,,,10.723175453845142,15.111664157343784,37.42069025713948,-10.945164670461539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,313.0,7.0,65.0,313.0,0.1,48.0,0.0,0.0,26.982245683670044,,,,,,,,,,,,,,,,,,,,,17.60270127636146,17.209157224164585,46.949676821001674,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,338.0,8.0,25.0,338.0,0.1,12.0,0.0,0.0,29.58984661102295,,,,,,,,,,,,,,,,,,,,,2.1725909847916585,5.727020706844318,11.969612480729186,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,410.0,9.0,72.0,410.0,0.1,43.0,0.0,0.0,36.81167936325073,,,,,,,,,,,,,,,,,,,,,10.97228819978625,17.420644252007204,42.29454203915165,-13.909363000999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,446.0,10.0,36.0,446.0,0.1,21.0,0.0,0.0,40.65514135360718,,,,,,,,,,,,,,,,,,,,,5.628858743165641,8.827212285710164,20.83901828279335,-6.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
