Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,88.0,1.0,88.0,88.0,0.1,48.22519999999993,0.0,0.0,0.009186744689941406,,,,,,,,,,,,,,,,,,,,,18.546594127501987,14.834901640256202,46.68642588211819,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,115.0,2.0,27.0,115.0,0.1,11.324399999999999,0.0,0.0,2.942068338394165,,,,,,,,,,,,,,,,,,,,,3.54030897072845,3.8703270723413885,11.251303012512345,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,459.0,3.0,344.0,459.0,0.1,172.26660000000047,0.0,0.0,36.53517270088196,,,,,,,,,,,,,,,,,,,,,73.69776837317383,43.01307934515999,147.20883814708418,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,529.0,4.0,70.0,529.0,0.1,34.605199999999975,0.0,0.0,43.64224648475647,,,,,,,,,,,,,,,,,,,,,13.102426912134186,10.223769733530835,33.75550737539402,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,796.0,5.0,267.0,796.0,0.1,174.84620000000044,0.0,0.0,70.03757071495056,,,,,,,,,,,,,,,,,,,,,69.72651042484681,45.8854859369075,156.5421494733631,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,993.0,6.0,197.0,993.0,0.1,126.32499999999997,0.0,0.0,89.02166724205017,,,,,,,,,,,,,,,,,,,,,57.37726461402134,35.439497037191835,115.25206775447904,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1044.0,7.0,51.0,1044.0,0.1,26.3654,0.0,0.0,94.1353919506073,,,,,,,,,,,,,,,,,,,,,9.988585840561298,8.642958771723084,25.907771757875363,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1115.0,8.0,71.0,1115.0,0.1,26.984199999999994,0.0,0.0,101.47746419906616,,,,,,,,,,,,,,,,,,,,,9.744918544510403,7.199594781021471,26.344974387139665,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1353.0,9.0,238.0,1353.0,0.1,123.80720000000004,0.0,0.0,124.6549084186554,,,,,,,,,,,,,,,,,,,,,53.563722106458535,31.899737206978173,111.28148582883473,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1444.0,10.0,91.0,1444.0,0.1,54.46699999999993,0.0,0.0,133.56208300590515,,,,,,,,,,,,,,,,,,,,,21.433426451013958,17.01266527815283,52.621749069347366,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
