Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,573.0,1.0,573.0,573.0,0.1,326.1244000000002,0.0,0.0,0.011597394943237305,,,,,,,,,,,,,,,,,,,,,135.26116910563817,77.268430480781,249.1177364576484,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,597.0,2.0,24.0,597.0,0.1,8.7848,0.0,0.0,2.4385151863098145,,,,,,,,,,,,,,,,,,,,,2.5128652645184406,3.0459645443101078,8.741966424534201,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,669.0,3.0,72.0,669.0,0.1,40.14499999999997,0.0,0.0,9.465471506118774,,,,,,,,,,,,,,,,,,,,,15.602307030128575,12.387241023810384,39.09979438280197,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,1008.0,4.0,339.0,1008.0,0.1,185.48520000000084,0.0,0.0,41.8671395778656,,,,,,,,,,,,,,,,,,,,,71.05717427744776,49.491021252702375,161.72009639263416,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1184.0,5.0,176.0,1184.0,0.1,118.80539999999996,0.0,0.0,58.65440058708191,,,,,,,,,,,,,,,,,,,,,50.3027319262652,34.84096100663609,110.17235371605575,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1223.0,6.0,39.0,1223.0,0.1,17.225800000000014,0.0,0.0,62.86623454093933,,,,,,,,,,,,,,,,,,,,,5.261883573004767,5.758316073404535,17.054678843661293,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1273.0,7.0,50.0,1273.0,0.1,23.885199999999998,0.0,0.0,67.97405767440796,,,,,,,,,,,,,,,,,,,,,7.873623874424072,7.831637295650525,23.538572412531444,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1374.0,8.0,101.0,1374.0,0.1,41.60679999999993,0.0,0.0,77.71652102470398,,,,,,,,,,,,,,,,,,,,,14.905321742616675,12.13743511862075,40.18168569369743,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1556.0,9.0,182.0,1556.0,0.1,79.22519999999989,0.0,0.0,94.9195351600647,,,,,,,,,,,,,,,,,,,,,32.50897266002674,20.637191972908006,73.45540432912911,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,2005.0,10.0,449.0,2005.0,0.1,218.62680000000086,0.0,0.0,137.32452249526978,,,,,,,,,,,,,,,,,,,,,93.42205247567684,48.880854915375885,177.03418978379904,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
