Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,390.0,1.0,390.0,390.0,0.1,246.2482000000004,0.0,0.0,0.009601831436157227,,,,,,,,,,,,,,,,,,,,,105.65128108209159,59.17921073889725,205.45490473254472,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,428.0,2.0,38.0,428.0,0.1,11.807799999999997,0.0,0.0,4.0236287117004395,,,,,,,,,,,,,,,,,,,,,2.857393522795838,3.693005879904012,11.722652628738603,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,687.0,3.0,259.0,687.0,0.1,164.5070000000002,0.0,0.0,29.448527097702026,,,,,,,,,,,,,,,,,,,,,68.20429179930477,45.762010423247055,147.13621371519667,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,924.0,4.0,237.0,924.0,0.1,136.52520000000024,0.0,0.0,52.332757234573364,,,,,,,,,,,,,,,,,,,,,61.76581283205498,37.564405285942435,122.1308419117847,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1019.0,5.0,95.0,1019.0,0.1,53.30739999999994,0.0,0.0,61.64119601249695,,,,,,,,,,,,,,,,,,,,,21.15037035526682,15.888094867620893,51.40086514567585,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1088.0,6.0,69.0,1088.0,0.1,41.327200000000005,0.0,0.0,68.66042160987854,,,,,,,,,,,,,,,,,,,,,15.537688283928937,13.761506885085598,40.33573063394616,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1151.0,7.0,63.0,1151.0,0.1,41.94519999999999,0.0,0.0,75.16330742835999,,,,,,,,,,,,,,,,,,,,,16.91463879820403,13.836869100653102,40.961459713680796,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1311.0,8.0,160.0,1311.0,0.1,68.54700000000008,0.0,0.0,91.14322066307068,,,,,,,,,,,,,,,,,,,,,25.99722368837697,17.354896130408367,64.51641251848415,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1491.0,9.0,180.0,1491.0,0.1,86.34540000000004,0.0,0.0,108.78003597259521,,,,,,,,,,,,,,,,,,,,,38.16849515990294,22.39708233377189,79.63425975647073,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1591.0,10.0,100.0,1591.0,0.1,72.54460000000002,0.0,0.0,118.5726387500763,,,,,,,,,,,,,,,,,,,,,31.1249784611414,21.833453146990575,69.57117493257608,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
