Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,113.0,1.0,113.0,113.0,0.1,81.30799999999999,0.0,0.0,0.014528036117553711,,,,,,,,,,,,,,,,,,,,,32.647567659354834,25.059108548422426,77.7742956715403,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,154.0,2.0,41.0,154.0,0.1,16.30900000000001,0.0,0.0,4.262615442276001,,,,,,,,,,,,,,,,,,,,,4.206096246143597,5.241800978877084,16.168871628293072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,563.0,3.0,409.0,563.0,0.1,229.2069999999997,0.0,0.0,44.36065745353699,,,,,,,,,,,,,,,,,,,,,95.36470127190643,60.28840194704467,190.5838142244251,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,765.0,4.0,202.0,765.0,0.1,143.30699999999993,0.0,0.0,63.44668221473694,,,,,,,,,,,,,,,,,,,,,61.510980064606784,39.54624879706617,131.14393876053174,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1074.0,5.0,309.0,1074.0,0.1,185.30699999999985,0.0,0.0,93.33333611488342,,,,,,,,,,,,,,,,,,,,,79.4747548117849,49.05631707209132,161.0712822563891,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1272.0,6.0,198.0,1272.0,0.1,142.50499999999988,0.0,0.0,112.39015483856201,,,,,,,,,,,,,,,,,,,,,60.376534639201566,38.38452111815962,130.8119392079148,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1361.0,7.0,89.0,1361.0,0.1,36.01500000000001,0.0,0.0,121.33388686180115,,,,,,,,,,,,,,,,,,,,,10.863203270785455,10.558868379960494,35.118376543610786,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1448.0,8.0,87.0,1448.0,0.1,38.10700000000003,0.0,0.0,129.85512042045593,,,,,,,,,,,,,,,,,,,,,11.34708644633381,11.073104505581927,37.19415459420277,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1522.0,9.0,74.0,1522.0,0.1,23.610000000000063,0.0,0.0,137.15796756744385,,,,,,,,,,,,,,,,,,,,,5.629616281328878,6.611870352849482,23.239864885086963,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1629.0,10.0,107.0,1629.0,0.1,63.405000000000015,0.0,0.0,147.66362166404724,,,,,,,,,,,,,,,,,,,,,25.478064787293146,17.6076000993937,60.80038704145553,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
